name,url,avatarUrl
Matteo Fortini,https://github.com/mfortini,https://avatars.githubusercontent.com/u/1104926?v=4
Iltempe,https://github.com/iltempe,https://avatars.githubusercontent.com/u/6368214?v=4
Antonio Vivace,https://github.com/avivace,https://avatars.githubusercontent.com/u/14352721?v=4
Timothy Redaelli,https://github.com/drizzt,https://avatars.githubusercontent.com/u/211316?v=4
Albertopi78,https://github.com/Albertopi78,https://avatars.githubusercontent.com/u/42850988?v=4
Vincenzo,https://github.com/tailot,https://avatars.githubusercontent.com/u/40148896?v=4
Maurizio De Magnis,https://github.com/olistik,https://avatars.githubusercontent.com/u/21038?v=4
Alessandro Cipriani,https://github.com/magiaslab,https://avatars.githubusercontent.com/u/9402517?v=4
MARCO ACORTE,https://github.com/marco-acorte,https://avatars.githubusercontent.com/u/6375935?v=4
Andrei Ciulpan,https://github.com/Jolsty,https://avatars.githubusercontent.com/u/43622539?v=4
